city,country,city_id,date,latitude,longitude,cloudiness,description,temperature,feels_like,temp_min,temp_max,humidity,visbility,windspeed
Sunndalsøra,NO,3135377,1648790124,62.6754,8.5515,100,light snow,25.36,25.36,25.36,25.36,98,423,1.32
Krasnosel'kup,RU,1502073,1648790125,65.7,82.4667,99,overcast clouds,17.51,4.91,17.51,17.51,85,10000,19.15
Nehe,CN,2035610,1648790125,48.4833,124.8333,8,clear sky,46.49,42.35,46.49,46.49,24,10000,8.32
The Valley,AI,3573374,1648790125,18.217,-63.0578,17,few clouds,76.86,77.86,76.82,78.1,77,10000,23.47
Yar-Sale,RU,1486321,1648790126,66.8333,70.8333,100,overcast clouds,15.1,2.5,15.1,15.1,86,10000,16.51
Lopburi,TH,1609032,1648790126,14.7981,100.654,96,overcast clouds,97.02,105.6,89.91,97.02,44,10000,14.99
Naze,JP,1855540,1648790126,28.3667,129.4833,97,overcast clouds,65.32,64.94,65.32,65.32,72,10000,16.62
Carnarvon,AU,2074865,1648789760,-24.8667,113.6333,75,light rain,77.07,78.89,77.07,77.07,94,400,11.5
Karpathos,GR,260895,1648790127,35.507,27.2132,20,few clouds,60.76,60.39,60.76,60.76,82,10000,18.41
Poum,NC,2138555,1648790127,-20.2333,164.0167,69,broken clouds,81.64,87.71,81.64,81.64,79,10000,5.91
Cenade,RO,684612,1648790128,46.0587,24.0089,100,overcast clouds,55.47,54.77,55.11,55.47,86,10000,4.38
Brae,GB,2654970,1648790128,60.3964,-1.353,61,broken clouds,35.85,29.55,35.85,35.85,59,10000,7.96
Alyangula,AU,2079582,1648790129,-13.8483,136.4192,58,broken clouds,88.03,90.39,88.03,88.03,48,10000,14.97
Nouadhibou,MR,2377457,1648790129,20.931,-17.0347,0,clear sky,60.78,60.19,60.78,60.78,77,7000,18.41
Waitati,NZ,2179825,1648790130,-45.75,170.5667,87,overcast clouds,54.81,52.72,54.81,54.81,58,10000,5.99
Mandan,US,5690366,1648790130,46.8267,-100.8896,0,clear sky,35.82,30.15,33.78,40.95,64,10000,6.91
Tūkrah,LY,88834,1648789803,32.5341,20.5791,84,broken clouds,64.0,63.16,64.0,64.0,65,10000,2.33
Inírida,CO,3671450,1648790130,3.8653,-67.9239,43,scattered clouds,74.19,75.25,74.19,74.19,84,10000,1.05
Andenes,NO,3163146,1648790131,69.3143,16.1194,40,scattered clouds,22.98,11.7,22.98,26.92,80,10000,11.5
Solana Beach,US,5396974,1648790134,32.9912,-117.2711,100,overcast clouds,56.84,56.35,53.94,60.13,88,10000,4.61
Faanui,PF,4034551,1648790135,-16.4833,-151.75,35,scattered clouds,82.22,86.18,82.22,82.22,67,10000,13.13
